Check NPs,Check V,raw_order,condcode,cond.name,blockindex,Listnum,set,Condition,cond.cloze,good.bad,itemcode#,version,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Target,Continuation,Target.Freq,Target.Prob,Nresponses,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
-,-,1,1,short.high,1,1,1,short,high,g,3,a,The firefighter,reported,which,victim,the,paramedic,,had,saved,from the fire.,11,0.366666667,30,rescued,saved,rescued,assisted,saved,saved,saved,saved in the ambulance,saved from the accident,revived,saved,revived,saved,brought back to life,revived from unconsciousness,faught,saved,treated,saved,rescued,saved,saved,put on the stretcher,saved,resuscitated ,helped,assisted,resuscitated,rescued,lost,#REF!,#REF!
-,-,2,2,short.low,1,2,1,short,low,b,3,b,The firefighter,reported,which,paramedic,the,victim,,had,saved,from the fire.,0,0,30,called a hero,thanked,thanked,treatment from,been saved by,kissed,thanked,thanked profusely,been saved by,been saved by,thanked,consulted,healed,rescued,help him,needed,seen,been saved by,been rescued by,been cared for by,severe burns,been rescued by,been treated by,been treated by,thanked,to take care of,ran to,been treated by,Struck,been saved by,#REF!,#REF!
-,-,3,3,long.high,1,3,1,long,high,g,3,a,The firefighter,reported,which,victim,the,paramedic,in the ambulance,had,saved,from the fire.,13,0.419354839,31,assisted,died,driven,given cpr to,helped,hurt,killed,picked up,rescued,rescued,revived,revived,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,taken to the hospital,treated,treated,treated,treated,treated,#REF!
-,-,4,4,long.low,1,4,1,long,low,b,3,b,The firefighter,reported,which,paramedic,the,victim,in the ambulance,had,saved,from the fire.,0,0,31,been burned,been helped by,been saved by,been saved by,been saved by,been saved by,been treated by,been treated by,been treated by,been treated by,been treated by,been treated by,cried to,died near,gone with,hated,healed,held hands with,helped,received help from,seen,seen,seen,shot,shoved,survived,talked to,thanked,thanked,thrown up on,yelled at,#REF!
-,-,5,1,short.high,2,3,2,short,high,g,3,b,The firefighter,reported,which,paramedic,the,victim,,had,thanked,after the fire.,5,0.166666667,30,called a hero,thanked,thanked,treatment from,been saved by,kissed,thanked,thanked profusely,been saved by,been saved by,thanked,consulted,healed,rescued,help him,needed,seen,been saved by,been rescued by,been cared for by,severe burns,been rescued by,been treated by,been treated by,thanked,to take care of,ran to,been treated by,Struck,been saved by,#REF!,#REF!
-,-,6,2,short.low,2,4,2,short,low,b,3,a,The firefighter,reported,which,victim,the,paramedic,,had,thanked,after the fire.,0,0,30,rescued,saved,rescued,assisted,saved,saved,saved,saved in the ambulance,saved from the accident,revived,saved,revived,saved,brought back to life,revived from unconsciousness,faught,saved,treated,saved,rescued,saved,saved,put on the stretcher,saved,resuscitated ,helped,assisted,resuscitated,rescued,lost,#REF!,#REF!
-,-,7,3,long.high,2,1,2,long,high,g,3,b,The firefighter,reported,which,paramedic,the,victim,in the ambulance,had,thanked,after the fire.,2,0.064516129,31,been burned,been helped by,been saved by,been saved by,been saved by,been saved by,been treated by,been treated by,been treated by,been treated by,been treated by,been treated by,cried to,died near,gone with,hated,healed,held hands with,helped,received help from,seen,seen,seen,shot,shoved,survived,talked to,thanked,thanked,thrown up on,yelled at,#REF!
-,-,8,4,long.low,2,2,2,long,low,b,3,a,The firefighter,reported,which,victim,the,paramedic,in the ambulance,had,thanked,after the fire.,0,0,31,assisted,died,driven,given cpr to,helped,hurt,killed,picked up,rescued,rescued,revived,revived,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,saved,taken to the hospital,treated,treated,treated,treated,treated,#REF!
-,-,9,1,short.high,3,1,3,short,high,g,4,a,The historian,documented,which,prince,the,assassin,,had,murdered,in the 10th century.,3,0.1,30,killed,killed,murdered,murdered,killed,assassinated,murdered,killed,shot,killed,missed,killed,spared,killed,eliminated,planned to kill,assassinated,killed,targeted,killed,become,killed,killed,targeted.,seduced,assasinated,targetted,assassinated,killed,killed,#REF!,#REF!
-,-,10,2,short.low,3,2,3,short,low,b,4,b,The historian,documented,which,assassin,the,prince,,had,murdered,in the 10th century.,0,0,30,been killed by,captured,thrown into jail,seen,hired,avoided,foiled,thwarted,had executed,secretly hired,contact with,been killed by,executed,succumbed to,hired,executed,defeated.,enlisted,met,executed,hired,been killed by,paid,hired.,evaded,been killed by,executed,arrested,thrown in the dungeon,hired,#REF!,#REF!
-,-,11,3,long.high,3,4,3,long,high,g,4,a,The historian,documented,which,prince,the,assassin,with long hair,had,murdered,in the 10th century.,4,0.129032258,31,a grudge against,assassinated,attacked,attacked,kidnapped,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,killed,murdered,murdered,murdered,murdered,shot,shot,stabbed,targeted,targeted,tried to kill,#REF!
-,-,12,4,long.low,3,3,3,long,low,b,4,b,The historian,documented,which,assassin,the,prince,with long hair,had,murdered,in the 10th century.,0,0,31,arrested,avoided,become,been killed by,been killed by,been murdered by,employed,escaped,escaped from,executed,hired,hired,hired,killed,killed,killed,killed,killed,killed by,pardoned,shot,slain,slayed,spotted,stopped,stymied,subdued,thwarted,thwarted,tricked,trumped,#REF!
-,-,13,1,short.high,4,4,4,short,high,g,4,b,The historian,documented,which,assassin,the,prince,,had,hired,for the job.,4,0.133333333,30,been killed by,captured,thrown into jail,seen,hired,avoided,foiled,thwarted,had executed,secretly hired,contact with,been killed by,executed,succumbed to,hired,executed,defeated.,enlisted,met,executed,hired,been killed by,paid,hired.,evaded,been killed by,executed,arrested,thrown in the dungeon,hired,#REF!,#REF!
-,-,14,2,short.low,4,3,4,short,low,b,4,a,The historian,documented,which,prince,the,assassin,,had,hired,for the job.,0,0,30,killed,killed,murdered,murdered,killed,assassinated,murdered,killed,shot,killed,missed,killed,spared,killed,eliminated,planned to kill,assassinated,killed,targeted,killed,become,killed,killed,targeted.,seduced,assasinated,targetted,assassinated,killed,killed,#REF!,#REF!
-,-,15,3,long.high,4,1,4,long,high,g,4,b,The historian,documented,which,assassin,the,prince,with long hair,had,hired,for the job.,3,0.096774194,31,arrested,avoided,become,been killed by,been killed by,been murdered by,employed,escaped,escaped from,executed,hired,hired,hired,killed,killed,killed,killed,killed,killed by,pardoned,shot,slain,slayed,spotted,stopped,stymied,subdued,thwarted,thwarted,tricked,trumped,#REF!
