mturk,List,Condition,Pair.old,itemcode,Pair,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Target,Continuation,good.bad,Target.Freq.Max,Target.Prop,Target.Freq,Notes,Best,Best.Freq,Best.Prop,Second,Second.Freq,Second.Prop,Third,Third.Freq,Third.Prop,Response1,Response2,Response3,Response4,Response5,Response6,Response7,Response8,Response9,Response10,Response11,Response12,Response13,Response14,Response15,Response16,Response17,Response18,Response19,Response20,Response21,Response22,Response23,Response24,Response25,Response26,Response27,Response28,Response29,Response30,Notes.Colin,Notes.orig,good.if.reversed,Target.Freq.Exact.Spelling.And.Form
2,1,g,225,45,1,the aquarium visitor,wondered,which,fish,the,penguins,had,eaten,during the performance.,g,23,0.766666667,23,eaten(22) + ate(1),eaten,22,0.733333333,chased,2,0.066666667,taunted,1,0.033333333,eaten,eaten,chased,preferred,eaten,eaten,eaten,eaten,eaten,eaten.,eaten,darted away from.,eaten,ate.,eaten,eaten,eaten,taunted,eaten,eaten,eaten,eaten,chased,eaten,eaten,eaten,become friends with,eaten,eaten,been fed,,,n,22
2,2,g,225,45,1,the aquarium visitor,wondered,which,trainer,the,penguins,had,eaten,during the performance.,b,23,0,0,,learned,3,0.1,bitten,3,0.1,trained,2,0.066666667,liked,interacted,bitten,liked,training them,bit,bitten,mauled,mauled,learned the tricks from,been trained by,cooperated for,trusted,preferred,followed,been assaigned to.,trained for,to listen to,learned from,had,responded to,loved best,learned under,worked with,loved,had,trained with,saved,bitten,not liked,,,n,0
1,4,g,93,,2,the storyteller,explained,which,dragon,the,prince,had,slain,with his sword.,g,19,0.633333333,19,slain(13) + slayed(6),slain,13,0.433333333,slayed,6,0.2,killed,4,0.133333333,killed,conquered,slayed,befriended,slayed,slain,slain,slayed to rescue the princess,fought with,slayed,rode,tamed,slayed,slain,killed with his blade,killed,slain,slain,befriended,slain,killed,slain,slain,slayed,feared as a child,slain,slain,slain,slain,slain,"another 6 ""slayed""","another 6 ""slayed""",n,13
1,3,g,93,,2,the storyteller,explained,which,princess,the,prince,had,slain,with his sword.,b,19,0,0,,married,9,0.3,kissed,6,0.2,chosen,4,0.133333333,decided to marry,desired,respected,fallen in love.,chosen,married,married,married,kissed,married,chose,married,kissed,rescued,married,loved,chosen,married,rescued,rescued,married,chosen,kissed,kissed,rescued,married,fallen for,kissed,Kissed,chosen,"good; is ""storyteller"" one word?",,n,0
1,3,g,94,,3,the superintendent,overheard,which,tenant,the,landlord,had,evicted,at the end of May.,g,19,0.633333333,19,,evicted,19,0.633333333,expelled,2,0.066666667,kicked,2,0.066666667,evicted for non-payment,evicted,evicted,kicked out,evicted,warned,evicted,evicted,reprimanded,evicted,evicted,evicted,evicted,expelled,absolutely hated,evicted,despised,evicted,evicted,evicted,paid,expelled,evicted,evicted,demanded rent from,kicked out,evicted,argued with,Evicted,evicted,good,,n,19
1,4,g,94,,3,the superintendent,overheard,which,realtor,the,landlord,had,evicted,at the end of May.,b,19,0,0,,hired,7,0.233333333,chosen,2,0.066666667,picked,2,0.066666667,called,hired,bribed,hired,worked with,picked,paid,chosen to sell the house,recommended,hired,preferred,gone with,picked,argued with,problems with,sold,hired,hired,hired,lunch with,selected,contacted,preferred,signed with,selected,worked with,recommended,used,hired,chosen,,,n,0
1,4,g,38,,4,the butler,speculated,which,guests,the,master,had,invited,to the party.,g,16,0.533333333,16,,invited,16,0.533333333,chosen,2,0.066666667,liked,2,0.066666667,invited ,liked best,invited to the party,invited,invited,invited,fed,invited this weekend,confided in,invited,invited,dated,chosen,impressed,invited,invited,greeted,invited to dinner,murdered,wronged,invited,invited,wanted to invite,issues with,invited to dinner,invited,invited,chosen,angered,liked,good,,n,16
1,3,g,38,,4,the butler,speculated,which,servants,the,master,had,invited,to the party.,b,16,0,0,,fired,8,0.266666667,beaten,3,0.1,angered,2,0.066666667,angered by yelling at them,angered,berated,affairs with,fired,beaten,fired,since his childhood,beaten,hired,bedded,fired,beat,fired,favored,abused,fired,promoted,fired,seduced,released,praised,beaten,fired,let go,to pay,fired,belittled ,Served ,liked the least,,,n,0
1,3,g,70,,5,the priest,mentioned,which,nonbeliever,the,nun,had,converted,on her mission trip.,g,15,0.5,15,,converted,15,0.5,shunned,2,0.066666667,accosted,1,0.033333333,converted to Catholicism,converted,converted,tried to convert,converted,converted,helped,converted,beaten,converted,turned,converted,prayed for,touched,converted,converted,shunned,converted,accosted,shuned,met,converted,converted,counseled,converted,sinned with,discovered,spoken with,Shunned ,converted,good,,n,15
1,4,g,70,,5,the priest,mentioned,which,archbishop,the,nun,had,converted,on her mission trip.,b,15,0,0,,been,3,0.1,worked,3,0.1,screwed,2,0.066666667,been friends with,written to,accused of misconduct,screwed,slept with,seen,followed,worked with overseas,served under,worked with,blessed,worked with before,liked,sex with,taken a liking to,screwed,prayed for,idolized,been corresponding with,threatened,secretly loved,disliked,known when he was younger,worshipped with,been raped by,named,implicated,helped,visited,praised,,,n,0
1,3,g,89,,6,the sheriff,boasted,which,horse,the,cowboy,had,ridden,across the town.,g,15,0.5,15,ridden(7) + rode(7) + riden,ridden,7,0.233333333,rode,7,0.233333333,broken,3,0.1,ridden was considered the wildest in the rodeo,captured,broken,ridden,chosen,tamed,chosen,rode in the rodeo,stolen,ridden,rode,selected,rode,ridden,ridden in on,rode,broken,taken away from a gang of bandits,ridden,bought,rode,ridden,chosen,trained,learned to ride on,broken,riden,rode,Rode,tamed,good,,n,7
1,4,g,89,,6,the sheriff,boasted,which,bandit,the,cowboy,had,ridden,across the town.,b,15,0,0,,shot,9,0.3,captured,4,0.133333333,arrested,3,0.1,access to,shot,captured,shot,wrangled in,arrested,chased,arrested,arrested,hog tied,shot,captured,shot,shot,killed,shot,lassoed,shot,captured in the shack,shot,apprehended,caught,rounded up,captured,defeated,caught,shot,caught,fought,killed,"or flip and use ""ridden""","or flip and use ""ridden""",n,0
1,4,g,19,,7,Mr. Stevens,revealed,which,clerk,the,manager,had,fired,for being lazy.,g,14,0.466666667,14,,fired,14,0.466666667,promoted,3,0.1,hired,2,0.066666667,been friends with,fired,yelled at,suspected,praised,fired,caught,fired from the office,scolded,fired,fired,insulted,fired,though was pretty,fired for insubordination,fired,scheduled,hired,written up,fired,hired,fired,fired,yelled at,promoted,promoted,fired,promoted,fired,fired,good,,n,14
1,3,g,19,,7,Mr. Stevens,revealed,which,customer,the,manager,had,fired,for being lazy.,b,14,0,0,,spoken,5,0.166666667,helped,3,0.1,yelled,3,0.1,yelled at in the store,angered,to search,spoken to,helped,helped,helped,selected as the grand prize winner,enraged,yelled at,served,served,kicked out,spoken,caught stealing,shorted,approached,to deal with,assaulted,spoken to,punched,aprehended,spoken with,assisted.,kicked out,spoken with,liked,yelled at,Punchee,given a discount to,,,n,0
1,1,g,83,,8,the secret serviceman,concealed,which,ex-president,the,agent,had,protected,from the terrorists.,g,14,0.466666667,14,,protected,14,0.466666667,an,2,0.066666667,killed,2,0.066666667,protected,served,protected,killed,met with,visited,served,protected,protected,followed,protected,looked after,protected,protected,protected,a problem with,excommunicated,fought,an affair with,killed,protected,saved,protected,protected.,guarded,protected,protected,protected,knew,an affair with,good,,n,14
1,2,g,83,,8,the secret serviceman,concealed,which,assassin,the,agent,had,protected,from the terrorists.,b,14,0,0,hm is this really unlikely enough??,killed,5,0.178571429,hired,3,0.107142857,captured,2,0.071428571,found,spotted,hired to do his dirty work,captured,killed,caught in the act,foiled,shot,killed,uncovered,been following,identified in the crowd,killed,discovered,used,captured,defeated.,apprehended,hired,disarmed,murdered,subdued,killed,hired.,terminated,implicated,killed,shot,discovered in the crowd,seen,,,n,0
2,2,g,77,21,9,the Roman emperor,asked,which,god,the,gladiator,had,worshipped,for strength in battle.,g,12,0.4,12,worshipped(10) + worshiped(2),worshipped,10,0.333333333,prayed,4,0.133333333,worshiped,2,0.066666667,damned,worshiped,invoked,prayed to ,believed in,thanked,worshipped,offered sacrifice to,served,been named for,worshipped,worshiped,worshipped,worshipped,offended,offered tribute to.,won,worshipped,prayed to,fought,worshipped,revered,the most faith in,prayed to,worshipped,worshipped,worshipped,admired,worshipped,prayed to,,,n,10
2,1,g,77,21,9,the Roman emperor,asked,which,adversary,the,gladiator,had,worshipped,for strength in battle.,b,12,0,0,,fought,6,0.2,defeated,5,0.166666667,killed,3,0.1,fought against,killed,fought,defeated,fought,defeated,chosen to fight,defeated,crushed,wanted as an opponent.,hurt,killed.,battled,slain.,recruited,slayed,dated,defeated,defeated in battle,slayed,fought,conquered,chosen to fight,destroyed,fought,fought,vanquished,killed,won against,beaten,,,n,0
1,3,g,32,,10,the author,revealed,which,maiden,the,hero,had,saved,from the tower.,g,11,0.366666667,11,,saved,11,0.366666667,rescued,6,0.2,chosen,4,0.133333333,chosen to be his bride,saved,kissed,rescued,saved,rescued,saved,rescued,boinked,saved,chosen,rescued,chosen,screwed,saved,fallen for,chosen,rescued,fallen for,rescued,saved,rejected,saved,spurned,married,sex with,saved,saved,Saved,saved,"or flip and use ""slain""","or flip and use ""slain""",n,11
1,4,g,32,,10,the author,revealed,which,ogre,the,hero,had,saved,from the tower.,b,11,0,0,,slain,10,0.333333333,conquered,3,0.1,defeated,3,0.1,killed,fought,captured,defeated,battled,slain,slain,slain in the forest,vanquished,overcome,slain,defeated,married,fought,slain,killed,killed,slain,searched for,bested,defeated,conquered,slain,fought,befriended,slain,conquered,conquered,slain,slain,good,,n,0
1,1,g,42,,11,the columnist,publicized,which,billionaire,the,supermodel,had,married,on public television.,g,11,0.366666667,11,,married,11,0.366666667,dated,7,0.233333333,slept,5,0.166666667,had an affair with,dated,married,slept with,married,dated,dated,married,slept with,been fucking,married,dated,married,married,dated,an affair with,enslaved,married,gone to dinner with,blackmailed,slept with,loved,dated,married.,married,married,slept with,married,dated,slept with,good,,n,11
1,2,g,42,,11,the columnist,publicized,which,stylist,the,supermodel,had,married,on public television.,b,11,0,0,,used,6,0.214285714,hired,5,0.178571429,been,2,0.071428571,been using,style their hair,been to see,modeled,used,gone to,hired,hired,worked with,recommended,her hair done with,hired,fired,hired,used,hired,visited.,chosen,adopted,wanteds to dress her for the event,fired,used,seen,used.,used,gotten mad at,used.,preferred,used for her hair,hired,,,n,0
2,2,g,60,16,12,the Iranian scholar,researched,which,camels,the,Persians,had,ridden,across the desert.,g,11,0.366666667,11,ridden(9) + rode(1) + riden(1),ridden,9,0.3,used,4,0.133333333,bred,3,0.1,ridden,breeded,ridden,bread,traveled with,used,owned,puchased,bred,bred,used,ridden on,trained,fed,captured,riden.,used,ridden,preferred,ridden,bred,used,ridden across the desert,rode,ridden,ridden,ridden,picked,owned,sold him,,,n,9
2,1,g,60,16,12,the Iranian scholar,researched,which,soldiers,the,Persians,had,ridden,across the desert.,b,11,0,0,,killed,5,0.166666667,fought,4,0.133333333,trained,3,0.1,wanted killed,killed,captured,trained,recognized,defeated,been defeated by,defeated,belonged,trained to protect the king.,killed,fought in the battle.,housed,fought.,murdered,trained,fought against,recruited,targeted for capture,killed,taken captive,hired,hired,captured,conquered,killed,killed,hired,fought,drafted,,,n,0
2,1,g,36,9,13,the beggar,saw,which,leper,the,saint,had,cured,in the street.,g,10,0.333333333,10,,cured,10,0.333333333,healed,8,0.266666667,blessed,4,0.133333333,beheaded,blessed,healed,blessed,ran from,cured,blessed,cured,worn,cured,stole,healed.,healed,cured.,healed,cured,worshipped,cured,cured,cured,healed,healed,touched,healed,touched,blessed,healed,cured,cured,assisted,,,n,10
2,2,g,36,9,13,the beggar,saw,which,prophet,the,saint,had,cured,in the street.,b,10,0,0,,worshipped,3,0.1,mentioned,3,0.1,blessed,3,0.1,worshipped,proclaimed,blessed,mentioned,saved,rewarded,respected,blessed,quoted,predicted,blessed,confirmed,greeted,worshipped,offended,chosen.,sainted,around his neck,told him about,described,listened to,spoken to,acknowledged,admired,seen,chosen,mentioned ,quoted,worshipped,mentioned,,,n,0
1,2,g,56,,14,the historian,recorded,which,patriot,the,king,had,knighted,at the ceremony.,g,10,0.333333333,10,,knighted,9,0.321428571,killed,3,0.107142857,executed,2,0.071428571,praised,exiled,given an award to,undertaken,loved,killed,jailed,killed,hanged,knighted,trusted,knighted,exalted,recruited,pardoned,thrown in jail,knighted.,knighted,knighted,killed,knighted,executed,knighted,knighted.,knighted,granted a title to,exiled,executed,knighted,favored,good,,n,10
