probability,condition
-41.0271,1
-39.2841,2
-48.28,3
-46.5005,4
-42.5763,1
-44.3193,2
-49.7927,3
-51.5722,4
-44.1398,1
-44.2323,2
-51.8504,3
-52.2669,4
-40.9892,1
-40.8967,2
-49.0238,3
-48.6073,4
-45.3352,1
-45.8595,2
-50.4,3
-52.1889,4
-42.8323,1
-42.3079,2
-49.1616,3
-47.3727,4
-44.0481,1
-44.9121,2
-50.2634,3
-51.0695,4
-43.6806,1
-42.8166,2
-49.838,3
-49.0319,4
-39.4648,1
-40.4106,2
-50.0331,3
-50.0143,4
-40.2184,1
-39.2726,2
-49.8221,3
-49.8409,4
-40.0993,1
-39.6101,2
-46.9721,3
-46.5752,4
-41.8972,1
-42.3865,2
-48.8624,3
-49.2593,4
-41.6605,1
-40.7686,2
-48.6633,3
-47.9857,4
-41.2447,1
-42.1366,2
-48.4618,3
-49.1394,4
-41.9073,1
-41.7684,2
-50.5988,3
-51.282,4
-44.0633,1
-44.2022,2
-53.5769,3
-52.8937,4
-44.9023,1
-43.4278,2
-50.7591,3
-49.079,4
-41.9144,1
-43.3889,2
-47.5655,3
-49.2457,4
-44.6567,1
-44.7548,2
-51.4116,3
-52.9373,4
-44.6232,1
-44.5252,2
-52.8058,3
-51.2801,4
-43.4771,1
-42.896,2
-49.1745,3
-49.0145,4
-42.2056,1
-43.8641,2
-49.4014,3
-49.5615,4
-50.977,1
-51.7123,2
-56.983,3
-57.531,4
-49.7427,1
-49.0074,2
-55.5614,3
-55.0134,4
-44.8816,1
-44.4054,2
-52.063,3
-51.838,4
-43.1746,1
-43.6508,2
-50.6072,3
-50.8322,4
-45.3909,1
-45.0186,2
-53.6992,3
-53.331,4
-45.1539,1
-45.5263,2
-53.4663,3
-53.8345,4
-43.6817,1
-42.7033,2
-51.0921,3
-50.5638,4
-43.2619,1
-44.2404,2
-51.1225,3
-51.6508,4
-42.7802,1
-42.8121,2
-49.599,3
-49.5973,4
-43.9149,1
-43.883,2
-50.7001,3
-50.7018,4
-41.3603,1
-44.0202,2
-51.5151,3
-53.2867,4
-42.6178,1
-42.093,2
-51.2319,3
-50.1127,4
-43.3524,1
-43.5334,2
-51.277,3
-51.1227,4
-44.5999,1
-44.419,2
-52.1892,3
-52.3435,4
-44.1326,1
-43.649,2
-50.3286,3
-49.3091,4
-42.4364,1
-42.9199,2
-48.0964,3
-49.116,4
-40.2634,1
-40.8271,2
-47.1248,3
-46.6562,4
-39.5839,1
-39.0202,2
-45.4131,3
-45.8816,4
-45.2219,1
-44.669,2
-50.3396,3
-50.1327,4
-44.8364,1
-45.8772,2
-50.3001,3
-50.507,4
-42.1325,1
-42.1984,2
-47.4247,3
-48.176,4
-45.2008,1
-45.8671,2
-51.9106,3
-51.1593,4
-45.0983,1
-45.1371,2
-52.6464,3
-52.6779,4
-42.8976,1
-42.8589,2
-50.4385,3
-50.4069,4
-48.6082,1
-48.8069,2
-56.4076,3
-56.3208,4
-46.6542,1
-46.4555,2
-54.1681,3
-54.255,4
-47.8728,1
-47.3361,2
-55.8611,3
-55.8729,4
-41.6664,1
-42.2031,2
-50.2032,3
-50.1914,4
-44.8521,1
-45.5679,2
-50.8516,3
-52.2882,4
-44.2546,1
-43.5388,2
-50.975,3
-49.5384,4
-43.1637,1
-42.1448,2
-51.5438,3
-50.5466,4
-44.1522,1
-45.1711,2
-52.5541,3
-53.5512,4
-41.7175,1
-44.4651,2
-50.5565,3
-52.0461,4
-44.4438,1
-42.8838,2
-52.0248,3
-50.5352,4
-46.3404,1
-46.3296,2
-53.5473,3
-51.9599,4
