condcode,cond.name,blockindex,Listnum,set,Condition,cond.cloze,good.bad,itemcode#,version,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Target,Continuation,Target.Freq,Target.Prob,Nresponses,Response1,Response2,Response3,Response4,Response5,Response6,Response7,Response8,Response9,Response10,Response11,Response12,Response13,Response14,Response15,Response16,Response17,Response18,Response19,Response20,Response21,Response22,Response23,Response24,Response25,Response26,Response27,Response28,Response29,Response30,Response31,Response32,Response33,Response34
1,old.high,1,1,1,old,high,g,1,a,The tenant,inquired,which,neighbor,the,landlord,had,evicted,from the apartment complex.,18,0.5625,32,boarded,chosen,contacted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,forced out,fought,insulted,kicked out,kicked out,kicked out,killed,kissed,picked,slandered,visited,,
2,old.low,1,2,1,old,low,b,1,b,The tenant,inquired,which,exterminator,the,landlord,had,evicted,from the apartment complex.,0,0,30,assigned to the apartment,called,called,called,called,called ,chosen ,chosen for the building,coming,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired ,hired. ,on contract,used,used,used,used,wanted,,,,
3,new.high,1,3,1,new,high,g,1,c,The exterminator,inquired,which,neighbor,the,landlord,had,evicted,from the apartment complex.,10,0.322580645,31,an infestation,blamed,called about,called for,cheated,complained about,complained about,contacted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,exterminated,for visitation,had problems with in the past,specified,spoken to,spoken with,suspected,suspected of harboring pet cockroaches,talked about,talked to,the termites,told him about the bug infestation,visited,,,
4,new.low,1,4,1,new,low,b,1,d,The neighbor,inquired,which,exterminator,the,landlord,had,evicted,from the apartment complex.,0,0,30,called,called,called,called,called,called,chosen to use,contracted,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,living,paid for services,recommended,solicited service from,used,used,used,,,,
1,old.high,2,3,2,old,high,g,1,b,The tenant,inquired,which,exterminator,the,landlord,had,hired,for the job.,15,0.5,30,assigned to the apartment,called,called,called,called,called ,chosen ,chosen for the building,coming,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired ,hired. ,on contract,used,used,used,used,wanted,,,,
2,old.low,2,4,2,old,low,b,1,a,The tenant,inquired,which,neighbor,the,landlord,had,hired,for the job.,0,0,32,boarded,chosen,contacted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,forced out,fought,insulted,kicked out,kicked out,kicked out,killed,kissed,picked,slandered,visited,,
3,new.high,2,2,2,new,high,g,1,d,The neighbor,inquired,which,exterminator,the,landlord,had,hired,for the job.,15,0.5,30,called,called,called,called,called,called,chosen to use,contracted,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,hired,living,paid for services,recommended,solicited service from,used,used,used,,,,
4,new.low,2,1,2,new,low,b,1,c,The exterminator,inquired,which,neighbor,the,landlord,had,hired,for the job.,0,0,31,an infestation,blamed,called about,called for,cheated,complained about,complained about,contacted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,evicted,exterminated,for visitation,had problems with in the past,specified,spoken to,spoken with,suspected,suspected of harboring pet cockroaches,talked about,talked to,the termites,told him about the bug infestation,visited,,,
1,old.high,3,1,3,old,high,g,2,a,The general,heard,which,terrorist,the,corporal,had,captured,during the stakeout.,4,0.133333333,30,arrested,arrested ,captured,captured,captured,captured,discovered,executed,executed ,executed. ,fought,found,identified,in custody,in custody,interogated,interogated,interrogated,interrogated,killed,killed,killed,killed,killed,seen,shot,spanked,taken into custody,tortured,tortured,,,,
2,old.low,3,2,3,old,low,b,2,b,The general,heard,which,comrade,the,corporal,had,captured,during the stakeout.,0,0,31,a few beers with,accused of treason,aided,befriended,blessed,bombed,chewed out,confided in,court-martial,demoted,demoted,disciplined ,fought,hidden,killed,liked,praised,promoted,promoted,promoted,punished,recently promoted,recommended,released,remembered,saved,saved in the battle,served with recently,shot,talked to,turned in,,,
3,new.high,3,4,3,new,high,g,2,c,The comrade,heard,which,terrorist,the,corporal,had,captured,during the stakeout.,5,0.166666667,30,alerted,apprehended,apprehended ,been bribed by,been scoping out,betrayed,blown up,captured,captured,captured,captured,captured,caught,execute,executed,executed,exiled,faught,killed,killed,killed,pointed out,released,shot,shot,tortured,tortured,tortured ,tracked down,wanted,,,,
4,new.low,3,3,3,new,low,b,2,d,The terrorist,heard,which,comrade,the,corporal,had,captured,during the stakeout.,0,0,32,accused,arrested,assassinated,awarded,called,commended,confided in,confronted,executed,executed,exposed,fired,helped,imprisoned,killed,killed,killed,killed,killed,killed,murdered,praised,promoted,promoted,punished,seen,shot,shot,slain,taken into custody,wanted,with him,,
1,old.high,4,4,4,old,high,g,2,b,The general,heard,which,comrade,the,corporal,had,promoted,in the army.,4,0.129032258,31,a few beers with,accused of treason,aided,befriended,blessed,bombed,chewed out,confided in,court-martial,demoted,demoted,disciplined ,fought,hidden,killed,liked,praised,promoted,promoted,promoted,punished,recently promoted,recommended,released,remembered,saved,saved in the battle,served with recently,shot,talked to,turned in,,,
