probability,condition
-42.6533,1
-44.5125,2
-43.786,3
-44.6432,4
-41.8109,1
-39.9516,2
-41.9415,3
-41.0844,4
-39.1572,1
-39.2899,2
-42.0349,3
-40.6236,4
-39.1835,1
-39.0507,2
-40.5171,3
-41.9285,4
-45.0003,1
-45.469,2
-44.809,3
-45.8575,4
-40.7422,1
-40.2735,2
-41.1307,3
-40.0822,4
-39.474,1
-39.1976,2
-41.2432,3
-42.459,4
-41.9292,1
-42.2057,2
-45.1907,3
-43.9749,4
-40.3406,1
-37.7709,2
-39.7531,3
-39.9801,4
-40.7259,1
-43.2956,2
-42.9351,3
-42.7081,4
-38.0516,1
-40.8727,2
-36.5828,3
-39.2989,4
-41.111,1
-38.2898,2
-39.5371,3
-36.821,4
-38.5849,1
-37.4146,2
-39.6789,3
-38.4795,4
-37.3121,1
-38.4124,2
-37.4559,3
-38.4289,4
-38.2291,1
-37.1288,2
-38.2456,3
-37.2726,4
-40.5609,1
-39.5767,2
-42.9852,3
-42.7722,4
-39.4345,1
-40.4187,2
-42.63,3
-42.843,4
-42.9596,1
-44.5956,2
-46.1253,3
-45.4195,4
-46.5848,1
-44.9488,2
-47.4087,3
-48.1145,4
-39.2741,1
-42.138,2
-38.6444,3
-40.251,4
-40.804,1
-37.9401,2
-38.9169,3
-37.3103,4
-40.2318,1
-40.8118,2
-39.9538,3
-39.7233,4
-41.0629,1
-40.4829,2
-39.9744,3
-40.2049,4
-45.9697,1
-45.3003,2
-42.89,3
-43.5081,4
-42.4077,1
-42.5509,2
-42.6349,3
-42.6673,4
-42.7272,1
-42.584,2
-42.8436,3
-42.8112,4
-41.8537,1
-41.0879,2
-41.8192,3
-42.6413,4
-41.5712,1
-42.337,2
-43.1246,3
-42.3025,4
-49.0595,1
-45.9857,2
-43.8411,3
-42.9976,4
-41.9139,1
-44.9877,2
-38.9259,3
-39.7693,4
-37.7496,1
-36.7639,2
-38.0853,3
-37.5858,4
-38.8652,1
-39.8508,2
-39.687,3
-40.1865,4
-47.1394,1
-46.4478,2
-43.3447,3
-42.2174,4
-44.3318,1
-45.0234,2
-40.1015,3
-41.2288,4
-43.5073,1
-46.5707,2
-45.4095,3
-46.1225,4
-45.9931,1
-42.9296,2
-45.5449,3
-44.8319,4
-42.3288,1
-42.5987,2
-40.0025,3
-40.6033,4
-43.8534,1
-43.5835,2
-41.858,3
-41.2572,4
-40.0532,1
-41.3792,2
-37.5867,3
-39.2781,4
-43.3289,1
-42.0029,2
-41.2278,3
-39.5363,4
-42.6186,1
-44.8958,2
-40.6209,3
-42.3033,4
-46.5478,1
-44.2706,2
-43.9553,3
-42.2729,4
-40.5354,1
-37.0065,2
-40.7467,3
-40.0291,4
-36.3623,1
-39.8912,2
-39.3849,3
-40.1024,4
-41.6951,1
-42.2747,2
-41.6676,3
-42.1614,4
-43.0415,1
-42.462,2
-42.9282,3
-42.4345,4
-42.5261,1
-43.5065,2
-42.1412,3
-42.5117,4
-42.0743,1
-41.0939,2
-41.0795,3
-40.709,4
-44.7782,1
-44.5116,2
-46.8042,3
-43.8883,4
-42.6487,1
-42.9153,2
-42.0254,3
-44.9413,4
-39.5784,1
-39.9871,2
-42.5598,3
-42.6353,4
-41.3552,1
-40.9465,2
-44.0034,3
-43.9279,4
-40.7932,1
-41.3656,2
-43.0883,3
-42.2812,4
-44.2911,1
-43.7188,2
-45.2067,3
-46.0139,4
-41.4981,1
-39.8232,2
-40.0418,3
-39.0684,4
-40.5051,1
-42.18,2
-39.7503,3
-40.7237,4
-40.7904,1
-39.3137,2
-42.5389,3
-42.2413,4
-39.7296,1
-41.2063,2
-42.6572,3
-42.9548,4
-43.444,1
-43.2652,2
-45.7984,3
-46.0864,4
-43.015,1
-43.1938,2
-45.8362,3
-45.5482,4
-41.6483,1
-42.0671,2
-41.1576,3
-42.2495,4
-39.6547,1
-39.2358,2
-39.8371,3
-38.7452,4
-41.7791,1
-41.8261,2
-41.1442,3
-40.9907,4
-39.6994,1
-39.2287,2
-38.3963,3
-38.6032,4
-39.5602,1
-38.9419,2
-41.1468,3
-41.4902,4
-38.0221,1
-38.574,2
-39.3924,3
-38.2178,4
-36.7421,1
-37.8737,2
-38.7992,3
-39.6884,4
-43.9715,1
-44.0952,2
-45.044,3
-45.0543,4
-40.376,1
-40.6506,2
-40.3501,3
-41.4616,4
-38.9866,1
-38.8755,2
-38.4399,3
-39.3778,4
-36.6658,1
-37.8361,2
-37.7307,3
-38.9301,4
-37.0986,1
-38.9154,2
-38.9169,3
-39.705,4
-40.1765,1
-40.3725,2
-42.9106,3
-42.3499,4
-41.7932,1
-40.7932,2
-42.5065,3
-43.2083,4
-42.9755,1
-43.3829,2
-43.1267,3
-43.6001,4
-40.7594,1
-42.457,2
-42.806,3
-42.2079,4
-39.9284,1
-42.3122,2
-38.9346,3
-40.6537,4
-39.2842,1
-41.2019,2
-41.0318,3
-41.3103,4
-39.5696,1
-40.2276,2
-39.738,3
-40.7956,4
-45.8554,1
-44.0145,2
-42.6737,3
-45.2545,4
-43.7435,1
-39.7536,2
-42.3686,3
-42.0398,4
-47.1309,1
-49.9636,2
-44.4314,3
-44.0263,4
-46.8952,1
-46.1339,2
-46.2989,3
-46.5093,4
-38.6534,1
-39.5011,2
-40.469,3
-40.9853,4
-43.414,1
-42.3089,2
-44.9221,3
-43.5571,4
-46.3529,1
-42.6796,2
-42.4759,3
-41.6946,4
-38.9455,1
-38.9721,2
-42.0238,3
-40.732,4
-38.4329,1
-37.6023,2
-36.684,3
-35.9676,4
-43.5665,1
-43.4597,2
-44.0993,3
-43.1195,4
-43.8307,1
-43.3832,2
-40.6358,3
-41.22,4
-40.6974,1
-40.1398,2
-40.2814,3
-39.7655,4
-43.2381,1
-43.5301,2
-44.7134,3
-43.2936,4
-48.443,1
-48.1568,2
-48.8241,3
-49.0474,4
-47.8309,1
-47.1594,2
-44.7412,3
-44.5304,4
-42.6737,1
-42.3713,2
-39.0696,3
-41.2498,4
-42.994,1
-42.8976,2
-43.6949,3
-42.812,4
-37.5396,1
-40.981,2
-37.9665,3
-39.5647,4
-48.8808,1
-49.6417,2
-47.1237,3
-46.6638,4
