"","id","condcode","item","sentencetype","predictability","ROI","laterality","anteriority","window","amplitude","target","target.cloze","target.len","target.lg10WF"
"54","5_121","5","121","ellen","high","9","right","posterior","t300_500",-3.89646833333333,"anniversary",0.75,11,2.97
"56","5_121","5","121","ellen","high","8","midline","posterior","t300_500",-2.74017377777778,"anniversary",0.75,11,2.97
"65","5_121","5","121","ellen","high","7","left","posterior","t300_500",-1.60899333333333,"anniversary",0.75,11,2.97
"105","5_122","5","122","ellen","high","7","left","posterior","t300_500",2.18249454545455,"baby",0.75,4,4.41
"108","5_122","5","122","ellen","high","9","right","posterior","t300_500",3.85324409090909,"baby",0.75,4,4.41
"118","5_122","5","122","ellen","high","8","midline","posterior","t300_500",3.30150454545455,"baby",0.75,4,4.41
"178","5_123","5","123","ellen","high","9","right","posterior","t300_500",-2.400059,"band",0.75,4,3.44
"183","5_123","5","123","ellen","high","8","midline","posterior","t300_500",-3.0645295,"band",0.75,4,3.44
"192","5_123","5","123","ellen","high","7","left","posterior","t300_500",-2.8215215,"band",0.75,4,3.44
"246","5_124","5","124","ellen","high","9","right","posterior","t300_500",3.56284,"beach",0.75,5,3.46
"260","5_124","5","124","ellen","high","8","midline","posterior","t300_500",4.9023385,"beach",0.75,5,3.46
"279","5_124","5","124","ellen","high","7","left","posterior","t300_500",5.222455,"beach",0.75,5,3.46
"324","5_125","5","125","ellen","high","9","right","posterior","t300_500",2.49756485,"bowl",1,4,3.04
"334","5_125","5","125","ellen","high","8","midline","posterior","t300_500",2.673061,"bowl",1,4,3.04
"358","5_125","5","125","ellen","high","7","left","posterior","t300_500",3.62567924,"bowl",1,4,3.04
"391","5_126","5","126","ellen","high","9","right","posterior","t300_500",6.2300495,"bread",0.75,5,3.16
"396","5_126","5","126","ellen","high","8","midline","posterior","t300_500",5.001156,"bread",0.75,5,3.16
"420","5_126","5","126","ellen","high","7","left","posterior","t300_500",4.779243,"bread",0.75,5,3.16
"442","5_127","5","127","ellen","high","9","right","posterior","t300_500",-0.959566666666667,"cake",1,4,3.36
"444","5_127","5","127","ellen","high","8","midline","posterior","t300_500",-0.70735,"cake",1,4,3.36
"504","5_127","5","127","ellen","high","7","left","posterior","t300_500",0.275201458333333,"cake",1,4,3.36
"530","5_128","5","128","ellen","high","8","midline","posterior","t300_500",-1.74950714285714,"car",0.82,3,4.39
"536","5_128","5","128","ellen","high","9","right","posterior","t300_500",-0.0711228571428566,"car",0.82,3,4.39
"540","5_128","5","128","ellen","high","7","left","posterior","t300_500",-0.245942857142857,"car",0.82,3,4.39
"583","5_129","5","129","ellen","high","9","right","posterior","t300_500",4.531855,"check",0.75,5,4.15
"597","5_129","5","129","ellen","high","8","midline","posterior","t300_500",4.03759222222222,"check",0.75,5,4.15
"648","5_129","5","129","ellen","high","7","left","posterior","t300_500",3.37520611111111,"check",0.75,5,4.15
"652","5_130","5","130","ellen","high","8","midline","posterior","t300_500",2.97755,"cheese",0.75,6,3.3
"665","5_130","5","130","ellen","high","9","right","posterior","t300_500",2.79831590909091,"cheese",0.75,6,3.3
"697","5_130","5","130","ellen","high","7","left","posterior","t300_500",2.59412954545455,"cheese",0.75,6,3.3
"756","5_131","5","131","ellen","high","8","midline","posterior","t300_500",-4.61116,"choir",0.75,5,2.43
"773","5_131","5","131","ellen","high","9","right","posterior","t300_500",-4.40552227272727,"choir",0.75,5,2.43
"788","5_131","5","131","ellen","high","7","left","posterior","t300_500",-3.6367,"choir",0.75,5,2.43
"821","5_132","5","132","ellen","high","8","midline","posterior","t300_500",-0.864216111111111,"church",0.75,6,3.55
"847","5_132","5","132","ellen","high","9","right","posterior","t300_500",0.553135,"church",0.75,6,3.55
"861","5_132","5","132","ellen","high","7","left","posterior","t300_500",-0.507068888888889,"church",0.75,6,3.55
"876","5_133","5","133","ellen","high","9","right","posterior","t300_500",0.326631363636364,"city",0.81,4,3.94
"927","5_133","5","133","ellen","high","7","left","posterior","t300_500",-0.829316818181818,"city",0.81,4,3.94
"930","5_133","5","133","ellen","high","8","midline","posterior","t300_500",-0.114011818181818,"city",0.81,4,3.94
"958","5_134","5","134","ellen","high","9","right","posterior","t300_500",-4.37712944444444,"closet",0.75,6,3.14
"990","5_134","5","134","ellen","high","8","midline","posterior","t300_500",-5.79825555555556,"closet",0.75,6,3.14
"994","5_134","5","134","ellen","high","7","left","posterior","t300_500",-5.24964444444444,"closet",0.75,6,3.14
"1020","5_135","5","135","ellen","high","9","right","posterior","t300_500",7.76027388888889,"court",0.7,5,3.71
"1065","5_135","5","135","ellen","high","7","left","posterior","t300_500",7.07493588888889,"court",0.7,5,3.71
"1068","5_135","5","135","ellen","high","8","midline","posterior","t300_500",8.12052777777778,"court",0.7,5,3.71
"1107","5_136","5","136","ellen","high","9","right","posterior","t300_500",-0.654213636363637,"cream",0.75,5,3.4
"1110","5_136","5","136","ellen","high","7","left","posterior","t300_500",0.0541772727272725,"cream",0.75,5,3.4
"1142","5_136","5","136","ellen","high","8","midline","posterior","t300_500",-1.07244318181818,"cream",0.75,5,3.4
"1197","5_137","5","137","ellen","high","8","midline","posterior","t300_500",3.5271475,"wine",0.75,4,3.49
"1211","5_137","5","137","ellen","high","7","left","posterior","t300_500",4.984612,"wine",0.75,4,3.49
"1214","5_137","5","137","ellen","high","9","right","posterior","t300_500",3.3142265,"wine",0.75,4,3.49
"1246","5_138","5","138","ellen","high","8","midline","posterior","t300_500",-1.01406514444444,"dentist",0.75,7,2.76
"1260","5_138","5","138","ellen","high","9","right","posterior","t300_500",-1.74974444444444,"dentist",0.75,7,2.76
"1296","5_138","5","138","ellen","high","7","left","posterior","t300_500",0.3948535,"dentist",0.75,7,2.76
"1312","5_139","5","139","ellen","high","9","right","posterior","t300_500",7.80144,"desk",0.75,4,3.35
"1322","5_139","5","139","ellen","high","8","midline","posterior","t300_500",7.896115,"desk",0.75,4,3.35
"1338","5_139","5","139","ellen","high","7","left","posterior","t300_500",6.275971,"desk",0.75,4,3.35
"1394","5_140","5","140","ellen","high","9","right","posterior","t300_500",1.605105,"dollars",0.75,7,3.6
"1403","5_140","5","140","ellen","high","8","midline","posterior","t300_500",-0.627385,"dollars",0.75,7,3.6
"1406","5_140","5","140","ellen","high","7","left","posterior","t300_500",0.599443636363636,"dollars",0.75,7,3.6
"1472","5_141","5","141","ellen","high","8","midline","posterior","t300_500",2.4679915,"flag",0.75,4,2.95
"1496","5_141","5","141","ellen","high","9","right","posterior","t300_500",2.17762222222222,"flag",0.75,4,2.95
"1503","5_141","5","141","ellen","high","7","left","posterior","t300_500",3.22240055555556,"flag",0.75,4,2.95
"1544","5_142","5","142","ellen","high","8","midline","posterior","t300_500",-0.915913333333333,"fog",0.88,3,2.68
"1574","5_142","5","142","ellen","high","9","right","posterior","t300_500",-0.808432166666667,"fog",0.88,3,2.68
"1581","5_142","5","142","ellen","high","7","left","posterior","t300_500",-1.59545745833333,"fog",0.88,3,2.68
"1633","5_143","5","143","ellen","high","8","midline","posterior","t300_500",2.86158111111111,"fries",0.75,5,2.78
"1650","5_143","5","143","ellen","high","7","left","posterior","t300_500",3.40050466666667,"fries",0.75,5,2.78
"1651","5_143","5","143","ellen","high","9","right","posterior","t300_500",2.26953166666667,"fries",0.75,5,2.78
"1677","5_144","5","144","ellen","high","8","midline","posterior","t300_500",1.50075444444444,"fur",0.75,3,2.63
"1716","5_144","5","144","ellen","high","9","right","posterior","t300_500",1.09640833333333,"fur",0.75,3,2.63
"1722","5_144","5","144","ellen","high","7","left","posterior","t300_500",0.965438333333333,"fur",0.75,3,2.63
"1768","5_145","5","145","ellen","high","8","midline","posterior","t300_500",3.63838875,"game",0.82,4,4.08
"1776","5_145","5","145","ellen","high","7","left","posterior","t300_500",3.57685525,"game",0.82,4,4.08
"1796","5_145","5","145","ellen","high","9","right","posterior","t300_500",4.02486875,"game",0.82,4,4.08
"1841","5_146","5","146","ellen","high","8","midline","posterior","t300_500",2.88930545454545,"gas",0.75,3,3.54
"1859","5_146","5","146","ellen","high","7","left","posterior","t300_500",2.91509818181818,"gas",0.75,3,3.54
"1871","5_146","5","146","ellen","high","9","right","posterior","t300_500",2.73139,"gas",0.75,3,3.54
"1873","5_147","5","147","ellen","high","8","midline","posterior","t300_500",-1.0351075,"ground",0.74,6,3.57
"1932","5_147","5","147","ellen","high","7","left","posterior","t300_500",-0.473136045,"ground",0.74,6,3.57
"1941","5_147","5","147","ellen","high","9","right","posterior","t300_500",-1.487004,"ground",0.74,6,3.57
"1987","5_148","5","148","ellen","high","7","left","posterior","t300_500",4.49872555555556,"hammer",1,6,2.8
"1998","5_148","5","148","ellen","high","9","right","posterior","t300_500",3.86873555555556,"hammer",1,6,2.8
"2005","5_148","5","148","ellen","high","8","midline","posterior","t300_500",4.37869555555555,"hammer",1,6,2.8
"2041","5_149","5","149","ellen","high","7","left","posterior","t300_500",5.69752375,"hen",0.75,3,2.21
"2054","5_149","5","149","ellen","high","9","right","posterior","t300_500",4.9523625,"hen",0.75,3,2.21
"2082","5_149","5","149","ellen","high","8","midline","posterior","t300_500",4.79094375,"hen",0.75,3,2.21
"2099","5_150","5","150","ellen","high","9","right","posterior","t300_500",1.00392833333333,"holster",0.75,7,2.05
"2127","5_150","5","150","ellen","high","8","midline","posterior","t300_500",0.0940237499999999,"holster",0.75,7,2.05
"2155","5_150","5","150","ellen","high","7","left","posterior","t300_500",0.802008666666667,"holster",0.75,7,2.05
"2190","5_151","5","151","ellen","high","8","midline","posterior","t300_500",1.1045,"word",0.98,4,4.08
"2206","5_151","5","151","ellen","high","7","left","posterior","t300_500",1.55249944444444,"word",0.98,4,4.08
"2227","5_151","5","151","ellen","high","9","right","posterior","t300_500",0.305067222222222,"word",0.98,4,4.08
"2240","5_152","5","152","ellen","high","8","midline","posterior","t300_500",-1.37874454545455,"leash",0.89,5,2.34
"2296","5_152","5","152","ellen","high","9","right","posterior","t300_500",-0.817099090909091,"leash",0.89,5,2.34
"2304","5_152","5","152","ellen","high","7","left","posterior","t300_500",-1.01923181818182,"leash",0.89,5,2.34
"2322","5_153","5","153","ellen","high","8","midline","posterior","t300_500",2.23508041666667,"lemon",0.7,5,2.79
"2354","5_153","5","153","ellen","high","9","right","posterior","t300_500",1.639085,"lemon",0.7,5,2.79
"2357","5_153","5","153","ellen","high","7","left","posterior","t300_500",4.11704125,"lemon",0.7,5,2.79
"2416","5_154","5","154","ellen","high","8","midline","posterior","t300_500",2.2248625,"lessons",0.75,7,2.89
"2422","5_154","5","154","ellen","high","9","right","posterior","t300_500",2.5684625,"lessons",0.75,7,2.89
"2425","5_154","5","154","ellen","high","7","left","posterior","t300_500",1.434640625,"lessons",0.75,7,2.89
"2458","5_155","5","155","ellen","high","9","right","posterior","t300_500",1.52664472727273,"list",0.85,4,3.61
"2508","5_155","5","155","ellen","high","8","midline","posterior","t300_500",1.84858772727273,"list",0.85,4,3.61
"2514","5_155","5","155","ellen","high","7","left","posterior","t300_500",1.56975745454545,"list",0.85,4,3.61
"2533","5_156","5","156","ellen","high","9","right","posterior","t300_500",3.12588928571429,"loaf",0.75,4,2.36
"2555","5_156","5","156","ellen","high","8","midline","posterior","t300_500",4.20457142857143,"loaf",0.75,4,2.36
"2582","5_156","5","156","ellen","high","7","left","posterior","t300_500",3.138394,"loaf",0.75,4,2.36
"2622","5_157","5","157","ellen","high","8","midline","posterior","t300_500",2.3211695,"luck",0.94,4,3.89
"2645","5_157","5","157","ellen","high","7","left","posterior","t300_500",2.6508865,"luck",0.94,4,3.89
"2655","5_157","5","157","ellen","high","9","right","posterior","t300_500",1.635758,"luck",0.94,4,3.89
"2709","5_158","5","158","ellen","high","9","right","posterior","t300_500",0.00203856250000012,"machine",0.75,7,3.55
